actuator,coordinate,net_work_j,positive_work_j,negative_work_j,abs_work_j,peak_power_w,mean_abs_power_w
prosthetic_knee_motor,knee_angle_r,-1232.3815441256354,336.9215082939164,-1569.3030524195494,1906.224560713469,-10036.807106318212,1083.7094227115815
prosthetic_ankle_motor,ankle_angle_r,54152.54984455636,54172.95244726421,-20.402602707860638,54193.35504997206,106337.15588693328,32859.045243328
